Datetime,ScreenName,Text,Geolocation
6/14/2021 16:32,henne38,"RT @iFaridoon: ""The nationwide popularity of that dialogue is all because of this series."": #Priyamani on Sham scene in #TheFamilyMan2. 
@B…",Mumbai
6/14/2021 16:32,ime_samee,"RT @iFaridoon: ""After #TheFamilyMan2 people are constantly asking me, are you the same person who did #ChennaiExpress but I think it's beco…",Mumbai
6/14/2021 16:32,iFaridoon,"""The nationwide popularity of that dialogue is all because of this series."": #Priyamani on Sham scene in #TheFamilyMan2. 
@BajpayeeManoj
#TalkingFilms #BollywoodHungama
YT: https://t.co/pDJTRyWT70 https://t.co/sZI5acYHe6",Mumbai
6/14/2021 16:31,iFaridoon,"""It was not supposed to be that funny also because it's a really serious scene happening between Suchi and Srikant talking about their marriage and..."": #Priyamani on Sham scene in #TheFamilyMan2. 

@BajpayeeManoj
YT: https://t.co/pDJTRyWT70 https://t.co/Sl2uUYVOZB",Mumbai
6/14/2021 16:31,iFaridoon,"""After #TheFamilyMan2 people are constantly asking me, are you the same person who did #ChennaiExpress but I think it's become a little more popular after..."": #Priyamani on #TheFamilyMan2's blockbuster success.

#TalkingFilms 
YT: https://t.co/pDJTRyWT70 https://t.co/l50UZanKQA",Mumbai
6/10/2021 22:33,SRI_HARI85,"RT @dharmachandru: How #TheFamilyMan2 Team Sees #Chellam Sir 😀

@BajpayeeManoj 
@rajndk https://t.co/WTPcdtZQxp",Bangalore
6/10/2021 21:22,balamur55569341,"RT @vipinsasi2: It's disgusting to see Samantha in #TheFamilyMan2 for Brown/Black facing herself to act as a Tamilian. Bloody Racists !!!
@…",Bangalore
6/10/2021 19:13,Ashwinkumar____,"You guys started celebrating Stars bday earlier okay as much you love him why can't you can love the society. Does anyone know the current price of the Petrol and Oil ??
#Thalapathy65 #TheFamilyMan2 #ThalapathyVijay #Thala @itisprashanth @cinemapayyan",Bangalore
6/10/2021 18:52,iamprashanth06,Well played👏  @PrimeVideoIN #TheFamilyMan2 #DisneyPlusHotstar https://t.co/xHNooD8xs1,Bangalore
6/10/2021 18:40,VigneshSammu,"RT @dp_karthik: If reports are to be believed Netflix planning a trilingual web series with South OTT Queen.

She received a check or 4CRS…",Bangalore
6/10/2021 18:23,neneARGHYA_69,"RT @pudiharicharan: Ravindra Vijay, who plays intelligence officer Muthu Pandian in #TheFamilyMan2, has landed a key role in the Telugu rem…",Bangalore
6/10/2021 18:20,queensamfan,"RT @dp_karthik: If reports are to be believed Netflix planning a trilingual web series with South OTT Queen.

She received a check or 4CRS…",Bangalore
6/10/2021 18:08,Maapimedias,"RT @dp_karthik: If reports are to be believed Netflix planning a trilingual web series with South OTT Queen.

She received a check or 4CRS…",Bangalore
6/10/2021 17:56,Gomzi2009,"RT @MultiplMovement: Trust Chellam Sir. He knows it all!
.
#ChellamSir #TheFamilyMan2 #ChellamKnowsEverything https://t.co/XNpH75oVrP",Bangalore
6/10/2021 17:32,GMiachel,"RT @sridevisreedhar: .@Rakulpreet says that her family has become fans of @Samanthaprabhu2  after watching #TheFamilyMan2 

Read on: https:…",Bangalore
6/10/2021 17:06,AmulyaKrishna7,"#TheFamilyMan2 #TheFamilyManSeason2

Whenever kids ask for something new,

Typical Indian parents be like: https://t.co/ioa8XeKXT3",Bangalore
6/10/2021 16:52,SaiSunil452,Family man is an amazing series. Glad to watch,Bangalore
6/10/2021 16:46,Karthic07556937,"RT @dp_karthik: If reports are to be believed Netflix planning a trilingual web series with South OTT Queen.

She received a check or 4CRS…",Bangalore
6/10/2021 16:44,SivaSamanthaFan,Such a remarkable show,Bangalore
6/10/2021 16:14,tiwrbuwz,"RT @pudiharicharan: Ravindra Vijay, who plays intelligence officer Muthu Pandian in #TheFamilyMan2, has landed a key role in the Telugu rem…",Bangalore
6/10/2021 15:47,aishatax,"A lot is being spoken about #TheFamilyMan2 , the new season of the immensely popular series by @rajndk While many have appreciated it, there have been others who have criticised it as well. What did the makers intend to tell? Watch the full interview: https://t.co/FcB1qoAo1Z https://t.co/qCtAPi7Nbe",Bangalore
6/10/2021 15:42,siddharthsaikia,RT @automovillindia: Don't be a minimum guy. Even Chellam sir knows that Automovill provides hassle-free car service with transparent prici…,Bangalore
6/10/2021 15:17,ImMKR,"And you can’t entirely blame JK. He means well. But, he is sort of tricked by Bollywood’s representation into believing that he knows enough to get by easily in #TamilNadu. #TheFamilyManSeason2
#TheFamilyMan2 https://t.co/NY0CuXCHBp",Bangalore
6/10/2021 12:30,aminosindia,"Be conscious of the food you are feeding to your body. Don't ignore advice of Chellam sir.

Visit https://t.co/X9xWrLG5rH 

#aminosindia #ChellamSir #health #hubli #Dharwad #Karnataka #foodies #restaurants #TheFamilyMan2 https://t.co/XFFsEKHRCV",Bangalore
6/10/2021 12:13,tweet_baazi,"RT @TheHinduCinema: Interview| #ManojBajpayee: ""Every actor or creative person should have an understanding of the politics in their countr…",Bangalore
6/11/2021 23:13,BilalThaniOruva,RT @SaranGowda: @Suparn when will be on tamil sir waiting eagerly #TheFamilyMan2,Bangalore
6/11/2021 23:11,BilalThaniOruva,"RT @sri50: #TheFamilyMan2 @rajndk got milieu and the #Tamil actors in supporting roles perfect.  #RavindraVijay #Devadarshini, &amp; #UdayMahes…",Bangalore
6/11/2021 23:11,BilalThaniOruva,"RT @LMKMovieManiac: #TheFamilyMan2: Though it's fiction, the references are obvious. Tamil Eelam leaders have been portrayed very weakly (w…",Bangalore
6/11/2021 23:11,BilalThaniOruva,"RT @sidhuwrites: #TheFamilyMan2 - More than half the season is in Tamil, with another good chunk in English. It is the Hindi audience who w…",Bangalore
6/11/2021 21:35,CEO_Breakupboys,Climax of #TheFamilyMan2 https://t.co/OxAaCsjxtb,Bangalore
6/11/2021 16:26,mrtallerjerry,"RT @SeemanOfficial: Stop Streaming #TheFamilyMan2 web series, else we Thamizhs all over the world may have to lead a Massive Campaign to Bo…",Bangalore
6/11/2021 14:21,imravee,"A very nice review of #TheFamilyMan2
By sister @harathi_hahaha
Do watch this Friends
👏👍🙏

#TheFamilyManSeason2
#TheFamilyManOnPrime

https://t.co/mqEJoSJ2uE",Bangalore
6/11/2021 13:50,MeenaYanitha,"RT @TheHinduCinema: Interview| #ManojBajpayee: ""Every actor or creative person should have an understanding of the politics in their countr…",Bangalore
6/11/2021 13:46,the_hindu,"RT @TheHinduCinema: Interview| #ManojBajpayee: ""Every actor or creative person should have an understanding of the politics in their countr…",Bangalore
6/11/2021 13:46,TheHinduCinema,"Interview| #ManojBajpayee: ""Every actor or creative person should have an understanding of the politics in their country. All the characters in the show are heroes in their own stories. We humanise them. We are not here to take sides.""

#TheFamilyMan2

https://t.co/3jSfJuodpd",Bangalore
6/11/2021 13:29,Sirajuddin_idri,"RT @aishatax: Such a wonderful conversation with @rajndk ! 
Do read :-)
'We were not making anything political, we always try to tell human…",Bangalore
6/11/2021 13:28,aishatax,"Such a wonderful conversation with @rajndk ! 
Do read :-)
'We were not making anything political, we always try to tell human stories,' say The Family Man creators Raj and DK https://t.co/VEilexvlzj #TheFamilyMan2 #TheFamilyManSeason2 #TheFamilyManOnPrime",Bangalore
6/11/2021 13:15,tuittervishal,Corporate Life of an employee between Expectation vs Reality. #TheFamilyMan2 #corporatelife #ManojBajpayee #MEMES #Manager #boss #MNC #funny #comedy #memesdaily #business #Tweet https://t.co/5LInhWf1Qq,Bangalore
6/11/2021 11:00,SaranGowda,@Suparn when will be on tamil sir waiting eagerly #TheFamilyMan2,Bangalore
6/11/2021 10:53,miller65462181,"RT @vasudevanjasu: Stop streaming #TheFamilyMan2 immediately
#BoycottAmazon 
#FamilyMan2_against_Tamils https://t.co/0SXOxPqGjr",Bangalore
6/11/2021 9:43,filmibeat,The Family Man 2 Director Suparn Varma: What Happened With Tandav Worried Us https://t.co/HSy9NcrVM3 #thefamilyman2 #tandav #suparnvarma #amazonprimevideo #manojbajpayee #samanthaakkineni #saifalikhan,Bangalore
6/11/2021 9:43,HeptagonTech,"Chellam Sir has all the answers😉

#ChellamSir #TheFamilyMan2 #Familyman2 https://t.co/EM2rAeJRVA",Bangalore
6/11/2021 9:36,shevititan,@ChloeAmandaB Glad you liked it . You should join this engaging discussion tomorrow with the director of #TheFamilyMan2 @Suparn to know more . Would love your inputs . I can dm you the meeting details 😊 https://t.co/eSjYQNlRlA,Bangalore
6/11/2021 8:46,mrtallerjerry,"RT @kaja_khalid: Stop Streaming #TheFamilyMan2 web series, else we Thamizhs all over the world may have to lead a Massive Campaign to Boyco…",Bangalore
